DS1,DS2,DS3,DS4,PU1,PU2,PU3,PU4,BI1,BI2,BI3,gender
6,7,6,6,7,6,6,7,6,7,6,F
5,5,5,4,5,5,5,5,5,5,5,M
4,4,4,4,4,4,4,4,4,4,4,F
6,6,6,5,6,6,6,6,6,6,6,M
3,3,3,3,3,3,3,3,3,3,3,F
5,5,4,5,5,5,4,5,5,5,4,M
4,5,4,4,5,4,4,5,4,5,4,F
6,6,5,5,6,6,5,6,6,6,5,M
5,5,5,5,5,5,5,5,5,5,5,F
3,4,3,3,4,3,3,4,3,4,3,M
4,4,4,4,4,4,4,4,4,4,4,F
6,7,6,6,7,6,6,7,6,7,6,M
5,5,4,5,5,5,4,5,5,5,4,F
4,4,4,4,4,4,4,4,4,4,4,M
3,3,3,2,3,3,3,3,3,3,3,F
5,6,5,5,6,5,5,6,5,6,5,M
6,6,6,6,6,6,6,6,6,6,6,F
4,5,4,4,5,4,4,5,4,5,4,M
5,5,5,5,5,5,5,5,5,5,5,F
3,4,3,3,4,3,3,4,3,4,3,M
6,6,5,6,6,6,5,6,6,6,6,F
5,5,4,5,5,5,4,5,5,5,4,M
4,4,4,4,4,4,4,4,4,4,4,F
6,7,6,6,7,6,6,7,6,7,6,M
3,3,3,3,3,3,3,3,3,3,3,F
5,5,5,5,5,5,5,5,5,5,5,M
4,5,4,4,5,4,4,5,4,5,4,F
6,6,6,5,6,6,6,6,6,6,6,M
5,5,4,4,5,5,4,5,5,5,4,F
3,4,3,3,4,3,3,4,3,4,3,M
4,4,4,4,4,4,4,4,4,4,4,F
5,6,5,5,6,5,5,6,5,6,5,M
6,6,5,5,6,6,5,6,6,6,5,F
4,4,3,4,4,4,3,4,4,4,4,M
5,5,5,5,5,5,5,5,5,5,5,F
3,3,3,3,3,3,3,3,3,3,3,M
6,7,6,6,7,6,6,7,6,7,6,F
5,5,4,5,5,5,4,5,5,5,4,M
4,4,4,4,4,4,4,4,4,4,4,F
6,6,6,6,6,6,6,6,6,6,6,M
5,5,5,4,5,5,5,5,5,5,5,F
3,4,3,3,4,3,3,4,3,4,3,M
4,5,4,4,5,4,4,5,4,5,4,F
6,6,5,6,6,6,5,6,6,6,6,M
5,5,4,5,5,5,4,5,5,5,4,F
3,3,3,3,3,3,3,3,3,3,3,M
4,4,4,4,4,4,4,4,4,4,4,F
6,7,6,5,7,6,6,7,6,7,6,M
5,5,5,5,5,5,5,5,5,5,5,F
4,4,4,4,4,4,4,4,4,4,4,M
3,4,3,3,4,3,3,4,3,4,3,F
6,6,6,6,6,6,6,6,6,6,6,M
5,5,4,5,5,5,4,5,5,5,4,F
4,5,4,4,5,4,4,5,4,5,4,M
3,3,3,2,3,3,3,3,3,3,3,F
5,6,5,5,6,5,5,6,5,6,5,M
6,6,5,5,6,6,5,6,6,6,5,F
4,4,4,4,4,4,4,4,4,4,4,M
5,5,5,5,5,5,5,5,5,5,5,F
3,3,3,3,3,3,3,3,3,3,3,M
6,7,6,6,7,6,6,7,6,7,6,F
5,5,4,4,5,5,4,5,5,5,4,M
4,4,4,4,4,4,4,4,4,4,4,F
6,6,6,5,6,6,6,6,6,6,6,M
3,4,3,3,4,3,3,4,3,4,3,F
5,5,5,5,5,5,5,5,5,5,5,M
4,5,4,4,5,4,4,5,4,5,4,F
6,6,5,6,6,6,5,6,6,6,6,M
5,5,4,5,5,5,4,5,5,5,4,F
3,3,3,3,3,3,3,3,3,3,3,M
4,4,4,4,4,4,4,4,4,4,4,F
5,6,5,5,6,5,5,6,5,6,5,M
6,7,6,6,7,6,6,7,6,7,6,F
4,4,3,4,4,4,3,4,4,4,3,M
5,5,5,5,5,5,5,5,5,5,5,F
3,4,3,3,4,3,3,4,3,4,3,M
6,6,6,6,6,6,6,6,6,6,6,F
5,5,4,5,5,5,4,5,5,5,4,M
4,4,4,4,4,4,4,4,4,4,4,F
6,6,5,5,6,6,5,6,6,6,5,M
5,5,5,4,5,5,5,5,5,5,5,F
3,3,3,3,3,3,3,3,3,3,3,M
4,5,4,4,5,4,4,5,4,5,4,F
6,7,6,5,7,6,6,7,6,7,6,M
5,5,4,5,5,5,4,5,5,5,4,F
4,4,4,4,4,4,4,4,4,4,4,M
3,4,3,3,4,3,3,4,3,4,3,F
5,6,5,5,6,5,5,6,5,6,5,M
6,6,6,6,6,6,6,6,6,6,6,F
4,4,4,3,4,4,4,4,4,4,4,M
5,5,5,5,5,5,5,5,5,5,5,F
3,3,3,2,3,3,3,3,3,3,3,M
6,7,6,6,7,6,6,7,6,7,6,F
5,5,4,5,5,5,4,5,5,5,4,M
4,5,4,4,5,4,4,5,4,5,4,F
6,6,5,5,6,6,5,6,6,6,5,M
3,4,3,3,4,3,3,4,3,4,3,F
5,5,5,5,5,5,5,5,5,5,5,M
4,4,4,4,4,4,4,4,4,4,4,F
6,6,6,6,6,6,6,6,6,6,6,M
5,5,4,4,5,5,4,5,5,5,4,F
3,3,3,3,3,3,3,3,3,3,3,M
4,4,4,4,4,4,4,4,4,4,4,F
5,6,5,5,6,5,5,6,5,6,5,M
6,7,6,6,7,6,6,7,6,7,6,F
4,4,4,4,4,4,4,4,4,4,4,M
5,5,5,4,5,5,5,5,5,5,5,F
3,4,3,3,4,3,3,4,3,4,3,M
6,6,5,6,6,6,5,6,6,6,6,F
5,5,4,5,5,5,4,5,5,5,4,M
4,5,4,4,5,4,4,5,4,5,4,F
3,3,3,3,3,3,3,3,3,3,3,M
6,6,6,5,6,6,6,6,6,6,6,F
5,5,5,5,5,5,5,5,5,5,5,M
4,4,4,4,4,4,4,4,4,4,4,F
6,7,6,6,7,6,6,7,6,7,6,M
3,4,3,3,4,3,3,4,3,4,3,F
5,5,4,5,5,5,4,5,5,5,4,M
4,4,4,4,4,4,4,4,4,4,4,F
6,6,5,5,6,6,5,6,6,6,5,M
5,5,5,5,5,5,5,5,5,5,5,F
3,3,3,2,3,3,3,3,3,3,3,M
4,5,4,4,5,4,4,5,4,5,4,F
6,7,6,5,7,6,6,7,6,7,6,M
5,5,4,5,5,5,4,5,5,5,4,F
4,4,4,4,4,4,4,4,4,4,4,M
3,4,3,3,4,3,3,4,3,4,3,F
5,6,5,5,6,5,5,6,5,6,5,M
6,6,6,6,6,6,6,6,6,6,6,F
4,4,3,4,4,4,3,4,4,4,4,M
5,5,5,5,5,5,5,5,5,5,5,F
3,3,3,3,3,3,3,3,3,3,3,M
6,6,5,6,6,6,5,6,6,6,6,F
5,5,4,5,5,5,4,5,5,5,4,M
4,5,4,4,5,4,4,5,4,5,4,F
6,7,6,6,7,6,6,7,6,7,6,M
3,4,3,3,4,3,3,4,3,4,3,F
5,5,5,5,5,5,5,5,5,5,5,M
4,4,4,4,4,4,4,4,4,4,4,F
6,6,6,5,6,6,6,6,6,6,6,M
5,5,4,4,5,5,4,5,5,5,4,F
3,3,3,3,3,3,3,3,3,3,3,M
4,4,4,4,4,4,4,4,4,4,4,F
5,6,5,5,6,5,5,6,5,6,5,M
6,7,6,6,7,6,6,7,6,7,6,F
4,5,4,4,5,4,4,5,4,5,4,M
3,4,3,3,4,3,3,4,3,4,3,F
5,5,5,5,5,5,5,5,5,5,5,M
6,6,5,5,6,6,5,6,6,6,5,F
4,4,4,4,4,4,4,4,4,4,4,M
5,5,4,5,5,5,4,5,5,5,4,F
3,3,3,3,3,3,3,3,3,3,3,M
6,7,6,6,7,6,6,7,6,7,6,F
2,4,3,2,2,2,4,2,4,4,4,M
4,3,2,2,2,2,2,4,4,2,4,F
5,5,5,5,4,3,4,5,4,3,3,M
6,6,5,5,6,5,5,6,5,6,6,F
4,6,5,6,4,5,4,6,5,6,6,M
6,4,6,4,4,6,4,5,4,4,4,F
6,6,7,6,5,6,6,5,7,6,7,M
4,4,2,4,4,2,2,3,3,3,4,F
5,4,3,3,3,4,4,4,3,3,5,M
4,6,5,5,6,5,4,5,4,4,6,F
6,6,5,6,5,5,4,4,6,5,4,M
2,2,4,2,4,3,4,2,3,3,4,F
